,text,author_id,created_at,id
0,@jeffskoll Thanks Jeff 💕,44196397,2022-07-26T16:11:20.000Z,1551963390129709056
1,@SPACEdotcom Bon voyage,44196397,2022-07-26T15:53:34.000Z,1551958919140048898
2,@michaelsiconolf @KirstenGrind @EmilyGlazer Sickonolfi’s pack of attack chihuahuas are burning up phone lines today for revenge after his bogus article 🤣🤣,44196397,2022-07-26T15:39:30.000Z,1551955376295256064
3,@dogeofficialceo @MarceloPLima 🤣,44196397,2022-07-26T10:46:30.000Z,1551881641659883520
4,@MarceloPLima Exactly,44196397,2022-07-26T10:34:44.000Z,1551878680191897605
5,"@SawyerMerritt @heydave7 @WholeMarsBlog @WSJ Good point, will do",44196397,2022-07-26T04:41:41.000Z,1551789833340817408
6,"The amount of attention on me has gone supernova, which super sucks. Unfortunately, even trivial articles about me generate a lot of clicks :(

Will try my best to be heads down focused on doing useful things for civilization.",44196397,2022-07-25T22:37:15.000Z,1551698120328749056
7,@PPathole @michaelsiconolf @KirstenGrind @EmilyGlazer Mostly just that the media is a click maximizing machine and a story involving me gets a lot of clicks,44196397,2022-07-25T20:46:46.000Z,1551670314769293313
8,All Teslas come with a free karaoke app https://t.co/mZa3WmhyPL,44196397,2022-07-25T20:40:56.000Z,1551668848000114689
9,Das Baby would be a hit!,44196397,2022-07-25T18:59:51.000Z,1551643409907159041
