date,id,tweet
2020-02-04T23:58:31.000Z,1224844715415212033,Wrong Asian 😑 https://t.co/eMZeIIS7lR,
2020-02-04T23:50:25.000Z,1224842676295675907,@Jamie_Woodward_ @rjbarfield1 Looks like Mongolian Wild Horse.,
2020-02-04T23:48:19.000Z,1224842150829010946,"Hello Twittersphere! Having Googled and Pinterest to no avail I am here to ask you if anyone has any details about, or are you, the Japanese illustrator Toshiaki Kato? TIA #ToshiakiKato #JapaneseArtist",
2020-02-04T23:47:25.000Z,1224841922809868289,@TomiLahren North Korea is nice I hear,
2020-02-04T23:40:29.000Z,1224840176003944450,I’d have £5 on the Dalai Lama if I was a Tibetan man?!,
2020-02-04T23:35:34.000Z,1224838940605190145,@Nick4125 I was in Cambodia on holiday and came back from there actually. My return flight to Beijing with China Southern for the 31st was cancelled and I took the hint.,
2020-02-04T23:24:53.000Z,1224836253767602176,"Videos from tonight's packed class

KARATE /KICKBOXING

FIRST CLASS FREE
TUESDAYS - Upper Norwood
Karate -Boxing -Muay Thai -Kickboxing -Jiu Jitsu
We are a family run club that has an hour and a half class for all… https://t.co/Z7rmTJsCOF",
2020-02-04T23:24:21.000Z,1224836118962757633,"@johncardillo has a valid point! I’m getting #REC vibes! I’m not making light of the situation or tweeting this for a reaction (Trolling)! This is genuinely a horrifying scene, extremely frightening. 

YES, What’s really going on in China? https://t.co/2HXCcQ2WpO",
2020-02-04T23:17:02.000Z,1224834277981986817,"What if am infected Chinese worker sneezed just as they closed up the box at the factory?  And then I opened it up in England, days later...?",
2020-02-04T23:14:38.000Z,1224833671225626624,"I just opened something delivered from #AmazonPrime and, like most things today, noticed that it was Made in China...  Hmm, I wonder what the 'incubation period(?)' for the #CoronaVirus is?",
